Exercise;Element;reference_plantuml;reference;session_id;exercise_name;model_number;elem_type;plantuml;predicted;correct;llm
case_13_theater_scheduling;Association;"Author ""1..*""  -- ""*"" Play : writes";1;P001;case_13_theater_scheduling;model012;Association;"Play ""1..*"" -- ""1..*"" Author";1;1;gpt-5
case_13_theater_scheduling;Association;"Participant ""*"" -- ""*"" Play : acts";1;P001;case_13_theater_scheduling;model012;Association;"Play ""0..1"" -- ""1..*"" Participant";1;0;gpt-5
case_13_theater_scheduling;Inheritance;Person <|-- Author;1;P001;case_13_theater_scheduling;model012;Inheritance;Author --|> Person;1;1;gpt-5
case_13_theater_scheduling;Inheritance;Person <|-- Participant;1;P001;case_13_theater_scheduling;model012;Inheritance;Participant --|> Person;1;1;gpt-5
case_13_theater_scheduling;Inheritance;Play <|-- Musical;1;P001;case_13_theater_scheduling;model012;Inheritance;Musical --|> Play;1;1;gpt-5
case_13_theater_scheduling;Inheritance;Play <|-- Opera;1;P001;case_13_theater_scheduling;model012;Inheritance;Opera --|> Play;1;1;gpt-5
case_13_theater_scheduling;Association Class;(Play , Participant) .. Session;1;P001;case_13_theater_scheduling;model012;;;;;gpt-5
case_13_theater_scheduling;Association Class;;;P001;case_13_theater_scheduling;model012;Association Class;(Play, Theater) .. Session;1;0;gpt-5
case_14_university_courses;Class;Student;1;P002;case_14_university_courses;model013;Class;Student;1;1;gpt-5
case_14_university_courses;Class;Course;1;P002;case_14_university_courses;model013;Class;Course;1;1;gpt-5
case_14_university_courses;Class;TeachingAssistant;1;P002;case_14_university_courses;model013;Class;TeachingAssistant;1;1;gpt-5
case_14_university_courses;Class;LabSection;1;P002;case_14_university_courses;model013;Class;LabSection;1;1;gpt-5
case_14_university_courses;Class;CourseRegistration;1;P002;case_14_university_courses;model013;Class;Enrollment;1;1;gpt-5
case_14_university_courses;Class;Assignment;1;P002;case_14_university_courses;model013;Class;Assignment;1;1;gpt-5
case_14_university_courses;Attributes;Student.ID;1;P002;case_14_university_courses;model013;Attributes;Student.studentCode;1;1;gpt-5
case_14_university_courses;Attributes;TeachingAssistant.FirstName;1;P002;case_14_university_courses;model013;Attributes;TeachingAssistant.firstName;1;1;gpt-5
case_14_university_courses;Attributes;TeachingAssistant.LastName;1;P002;case_14_university_courses;model013;Attributes;TeachingAssistant.lastName;1;1;gpt-5
case_14_university_courses;Attributes;LabSection.StartTime;1;P002;case_14_university_courses;model013;Attributes;LabSection.TimeSlot;1;1;gpt-5
case_14_university_courses;Attributes;LabSection.EndTime;1;P002;case_14_university_courses;model013;Attributes;LabSection.location;1;1;gpt-5
case_14_university_courses;Attributes;LabSection.Location;1;P002;case_14_university_courses;model013;;;;;gpt-5
case_14_university_courses;Attributes;CourseRegistration.dateRegistered;1;P002;case_14_university_courses;model013;Attributes;Enrollment.date;1;1;gpt-5
case_14_university_courses;Attributes;Assignment.details;1;P002;case_14_university_courses;model013;Attributes;Assignment.details;1;1;gpt-5
case_14_university_courses;Attributes;Assignment.responsibilities;1;P002;case_14_university_courses;model013;Attributes;Assignment.responsibilities;1;1;gpt-5
case_14_university_courses;Association;"Student ""*"" -- ""*"" Course";1;P002;case_14_university_courses;model013;Association;"Course ""*"" -- ""*"" Student";1;1;gpt-5
case_14_university_courses;Association;"TeachingAssistant ""*"" -- ""*"" Course";1;P002;case_14_university_courses;model013;Association;"Course ""*"" -- ""*"" TeachingAssistant";1;1;gpt-5
case_14_university_courses;Composition;"Course ""1"" *-- ""1..*"" LabSection";1;P002;case_14_university_courses;model013;Composition;"Course ""1"" *-- ""1..*"" LabSection";1;1;gpt-5
case_14_university_courses;Association Class;(Student, Course) .. CourseRegistration;1;P002;case_14_university_courses;model013;Association Class;(Course, Student) .. Enrollment;1;1;gpt-5
case_14_university_courses;Association Class;(Course, TeachingAssistant) .. Assignment;1;P002;case_14_university_courses;model013;Association Class;(Course, TeachingAssistant) .. Assignment;1;1;gpt-5
case_13_theater_scheduling;Class;Enumeration Time;1;P003;case_13_theater_scheduling;model011;Class;Enumeration TimeOfDay;1;1;gpt-5
case_13_theater_scheduling;Class;Abstract Person;1;P003;case_13_theater_scheduling;model011;Class;Abstract Person;1;1;gpt-5
case_13_theater_scheduling;Class;Author;1;P003;case_13_theater_scheduling;model011;Class;Author;1;1;gpt-5
case_13_theater_scheduling;Class;Participant;1;P003;case_13_theater_scheduling;model011;Class;Participant;1;1;gpt-5
case_13_theater_scheduling;Class;Session;1;P003;case_13_theater_scheduling;model011;Class;Session;1;1;gpt-5
case_13_theater_scheduling;Class;Theater;1;P003;case_13_theater_scheduling;model011;Class;Theater;1;1;gpt-5
case_13_theater_scheduling;Class;Abstract Play;1;P003;case_13_theater_scheduling;model011;Class;Play;1;0;gpt-5
case_13_theater_scheduling;Class;Musical;1;P003;case_13_theater_scheduling;model011;;;;;gpt-5
case_13_theater_scheduling;Class;Opera;1;P003;case_13_theater_scheduling;model011;;;;;gpt-5
case_13_theater_scheduling;Attributes;Time.Day;1;P003;case_13_theater_scheduling;model011;Attributes;TimeOfDay.Day;1;1;gpt-5
case_13_theater_scheduling;Attributes;Time.Night;1;P003;case_13_theater_scheduling;model011;Attributes;TimeOfDay.Night;1;1;gpt-5
case_13_theater_scheduling;Attributes;Person.name;1;P003;case_13_theater_scheduling;model011;Attributes;Person.name;1;1;gpt-5
case_13_theater_scheduling;Attributes;Session.date;1;P003;case_13_theater_scheduling;model011;Attributes;Session.scheduledDate;1;1;gpt-5
case_13_theater_scheduling;Attributes;Session.timeBegin;1;P003;case_13_theater_scheduling;model011;Attributes;Session.startTime;1;1;gpt-5
case_13_theater_scheduling;Attributes;Session.timeEnd;1;P003;case_13_theater_scheduling;model011;Attributes;Session.endTime;1;1;gpt-5
case_13_theater_scheduling;Attributes;Theater.Location;1;P003;case_13_theater_scheduling;model011;Attributes;Theater.location;1;1;gpt-5
case_13_theater_scheduling;Attributes;Play.name;1;P003;case_13_theater_scheduling;model011;Attributes;Play.name;1;1;gpt-5
case_13_theater_scheduling;Attributes;Play.Time;1;P003;case_13_theater_scheduling;model011;Attributes;Play.timeOfDay;1;1;gpt-5
case_13_theater_scheduling;Association;"Play ""*"" -- ""*"" Theater : plays";1;P003;case_13_theater_scheduling;model011;Association;"Play ""0..*"" -- ""1..*"" Theater";1;1;gpt-5
case_13_theater_scheduling;Association;"Author ""1..*""  -- ""*"" Play : writes";1;P003;case_13_theater_scheduling;model011;Association;"Play ""1..*"" -- ""0..*"" Author";1;1;gpt-5
case_13_theater_scheduling;Association;"Participant ""*"" -- ""*"" Play : acts";1;P003;case_13_theater_scheduling;model011;Association;"Play ""0..1"" -- ""1..*"" Participant";1;0;gpt-5
case_13_theater_scheduling;Inheritance;Person <|-- Author;1;P003;case_13_theater_scheduling;model011;Inheritance;Author --|> Person;1;1;gpt-5
case_13_theater_scheduling;Inheritance;Person <|-- Participant;1;P003;case_13_theater_scheduling;model011;Inheritance;Participant --|> Person;1;1;gpt-5
case_13_theater_scheduling;Inheritance;Play <|-- Musical;1;P003;case_13_theater_scheduling;model011;;;;;gpt-5
case_13_theater_scheduling;Inheritance;Play <|-- Opera;1;P003;case_13_theater_scheduling;model011;;;;;gpt-5
case_13_theater_scheduling;Association Class;(Play , Participant) .. Session;1;P003;case_13_theater_scheduling;model011;;;;;gpt-5
case_13_theater_scheduling;Attributes;;;P003;case_13_theater_scheduling;model011;Attributes;Play.PlayType;1;0;gpt-5
case_13_theater_scheduling;Class;;;P003;case_13_theater_scheduling;model011;Class;Enumeration PlayType;1;0;gpt-5
case_13_theater_scheduling;Attributes;;;P003;case_13_theater_scheduling;model011;Attributes;PlayType.MUSICAL;1;0;gpt-5
case_13_theater_scheduling;Attributes;;;P003;case_13_theater_scheduling;model011;Attributes;PlayType.OPERA;1;0;gpt-5
case_13_theater_scheduling;Association;;;P003;case_13_theater_scheduling;model011;Association;"Author ""1"" -- ""1..*"" Participant";1;0;gpt-5
case_13_theater_scheduling;Composition;;;P003;case_13_theater_scheduling;model011;Composition;"Play ""1"" *-- ""1"" Session";1;0;gpt-5
case_13_theater_scheduling;Association;;;P003;case_13_theater_scheduling;model011;Association;"Session ""0..*"" -- ""1"" Theater";1;0;gpt-5
case_14_university_courses;Class;Student;1;P004;case_14_university_courses;model001;Class;Student;1;1;gpt-4.1
case_14_university_courses;Class;Course;1;P004;case_14_university_courses;model001;Class;Course;1;1;gpt-4.1
case_14_university_courses;Class;TeachingAssistant;1;P004;case_14_university_courses;model001;Class;TeachingAssistant;1;1;gpt-4.1
case_14_university_courses;Class;LabSection;1;P004;case_14_university_courses;model001;Class;LabSection;1;1;gpt-4.1
case_14_university_courses;Class;CourseRegistration;1;P004;case_14_university_courses;model001;Class;Enrollment;1;1;gpt-4.1
case_14_university_courses;Class;Assignment;1;P004;case_14_university_courses;model001;Class;Assignment;1;1;gpt-4.1
case_14_university_courses;Attributes;Student.ID;1;P004;case_14_university_courses;model001;Attributes;Student.studentCode;1;1;gpt-4.1
case_14_university_courses;Attributes;TeachingAssistant.FirstName;1;P004;case_14_university_courses;model001;Attributes;TeachingAssistant.firstName;1;1;gpt-4.1
case_14_university_courses;Attributes;TeachingAssistant.LastName;1;P004;case_14_university_courses;model001;Attributes;TeachingAssistant.lastName;1;1;gpt-4.1
case_14_university_courses;Attributes;LabSection.StartTime;1;P004;case_14_university_courses;model001;Attributes;LabSection.startTime;1;1;gpt-4.1
case_14_university_courses;Attributes;LabSection.EndTime;1;P004;case_14_university_courses;model001;Attributes;LabSection.endTime;1;1;gpt-4.1
case_14_university_courses;Attributes;LabSection.Location;1;P004;case_14_university_courses;model001;Attributes;LabSection.location;1;1;gpt-4.1
case_14_university_courses;Attributes;CourseRegistration.dateRegistered;1;P004;case_14_university_courses;model001;Attributes;Enrollment.enrollmentDate;1;1;gpt-4.1
case_14_university_courses;Attributes;Assignment.details;1;P004;case_14_university_courses;model001;Attributes;Assignment.details;1;1;gpt-4.1
case_14_university_courses;Attributes;Assignment.responsibilities;1;P004;case_14_university_courses;model001;Attributes;Assignment.responsibilities;1;1;gpt-4.1
case_14_university_courses;Association;"Student ""*"" -- ""*"" Course";1;P004;case_14_university_courses;model001;Association;"Course ""*"" -- ""*"" Student";1;1;gpt-4.1
case_14_university_courses;Association;"TeachingAssistant ""*"" -- ""*"" Course";1;P004;case_14_university_courses;model001;;;;;gpt-4.1
case_14_university_courses;Composition;"Course ""1"" *-- ""1..*"" LabSection";1;P004;case_14_university_courses;model001;Composition;"Course ""1"" *-- ""1..*"" LabSection";1;1;gpt-4.1
case_14_university_courses;Association Class;(Student, Course) .. CourseRegistration;1;P004;case_14_university_courses;model001;Association Class;(Course, Student) .. Enrollment;1;1;gpt-4.1
case_14_university_courses;Association Class;(Course, TeachingAssistant) .. Assignment;1;P004;case_14_university_courses;model001;;;;;gpt-4.1
case_14_university_courses;Attributes;;;P004;case_14_university_courses;model001;Attributes;Course.courseName;1;0;gpt-4.1
case_14_university_courses;Association;;;P004;case_14_university_courses;model001;Association;"TeachingAssistant ""1"" -- ""0..*"" Assignment";1;0;gpt-4.1
case_14_university_courses;Association;;;P004;case_14_university_courses;model001;Association;"Assignment ""1"" -- ""1"" Course";1;0;gpt-4.1
case_15_robots;Class;Enumeration Location;1;P005;case_15_robots;model003;Class;Enumeration LocationCategory;1;1;gpt-4.1
case_15_robots;Class;Abstract Robot;1;P005;case_15_robots;model003;Class;Abstract Robot;1;1;gpt-4.1
case_15_robots;Class;CleaningRobot;1;P005;case_15_robots;model003;Class;CleaningRobot;1;1;gpt-4.1
case_15_robots;Class;TransportRobot;1;P005;case_15_robots;model003;Class;TransportRobot;1;1;gpt-4.1
case_15_robots;Class;Task;1;P005;case_15_robots;model003;Class;Task;1;1;gpt-4.1
case_15_robots;Class;TaskExecution;1;P005;case_15_robots;model003;Class;TaskExecution;1;1;gpt-4.1
case_15_robots;Attributes;Location.Corridors;1;P005;case_15_robots;model003;Attributes;LocationCategory.corridor;1;1;gpt-4.1
case_15_robots;Attributes;Location.Rooms;1;P005;case_15_robots;model003;Attributes;LocationCategory.room;1;1;gpt-4.1
case_15_robots;Attributes;Robot.id;1;P005;case_15_robots;model003;Attributes;Robot.identifier;1;1;gpt-4.1
case_15_robots;Attributes;Task.id;1;P005;case_15_robots;model003;Attributes;Task.code;1;1;gpt-4.1
case_15_robots;Attributes;TaskExecution.id;1;P005;case_15_robots;model003;Attributes;TaskExecution.referenceCode;1;1;gpt-4.1
case_15_robots;Attributes;TaskExecution.startTime;1;P005;case_15_robots;model003;Attributes;TaskExecution.startTime;1;1;gpt-4.1
case_15_robots;Attributes;TaskExecution.Location;1;P005;case_15_robots;model003;Attributes;TaskExecution.locationCategory;1;1;gpt-4.1
case_15_robots;Association;"Robot ""*"" -- ""*"" Task : performs";1;P005;case_15_robots;model003;Association;"Robot ""*"" -- ""*"" Task";1;1;gpt-4.1
case_15_robots;Inheritance;CleaningRobot --|> Robot;1;P005;case_15_robots;model003;Inheritance;CleaningRobot --|> Robot;1;1;gpt-4.1
case_15_robots;Inheritance;TransportRobot --|> Robot;1;P005;case_15_robots;model003;Inheritance;TransportRobot --|> Robot;1;1;gpt-4.1
case_15_robots;Association Class;(Robot, Task) .. TaskExecution;1;P005;case_15_robots;model003;Association Class;(Robot, Task) .. TaskExecution;1;1;gpt-4.1
case_11_e-commerce;Class;Customer;1;P006;case_11_e-commerce;model002;Class;Customer;1;1;gpt-4.1
case_11_e-commerce;Class;Product;1;P006;case_11_e-commerce;model002;Class;Product;1;1;gpt-4.1
case_11_e-commerce;Class;Order;1;P006;case_11_e-commerce;model002;Class;Order;1;1;gpt-4.1
case_11_e-commerce;Class;OrderDetails;1;P006;case_11_e-commerce;model002;Class;OrderItem;1;1;gpt-4.1
case_11_e-commerce;Class;Review;1;P006;case_11_e-commerce;model002;Class;Review;1;1;gpt-4.1
case_11_e-commerce;Class;Promotion;1;P006;case_11_e-commerce;model002;Class;Promotion;1;1;gpt-4.1
case_11_e-commerce;Class;PromotionDetails;1;P006;case_11_e-commerce;model002;Class;ProductPromotion;1;1;gpt-4.1
case_11_e-commerce;Attributes;Customer.ID;1;P006;case_11_e-commerce;model002;Attributes;Customer.customerId;1;1;gpt-4.1
case_11_e-commerce;Attributes;Product.Name;1;P006;case_11_e-commerce;model002;Attributes;Product.name;1;1;gpt-4.1
case_11_e-commerce;Attributes;Product.Description;1;P006;case_11_e-commerce;model002;Attributes;Product.description;1;1;gpt-4.1
case_11_e-commerce;Attributes;Order.ID;1;P006;case_11_e-commerce;model002;Attributes;Order.orderId;1;1;gpt-4.1
case_11_e-commerce;Attributes;OrderDetails.Quantity;1;P006;case_11_e-commerce;model002;Attributes;OrderItem.quantity;1;1;gpt-4.1
case_11_e-commerce;Attributes;OrderDetails.Price;1;P006;case_11_e-commerce;model002;Attributes;OrderItem.agreedPrice;1;1;gpt-4.1
case_11_e-commerce;Attributes;Review.Date;1;P006;case_11_e-commerce;model002;Attributes;Review.reviewDate;1;1;gpt-4.1
case_11_e-commerce;Attributes;Review.Rating;1;P006;case_11_e-commerce;model002;Attributes;Review.ratingScore;1;1;gpt-4.1
case_11_e-commerce;Attributes;PromotionDetails.DiscountRate;1;P006;case_11_e-commerce;model002;Attributes;ProductPromotion.discountRate;1;1;gpt-4.1
case_11_e-commerce;Attributes;PromotionDetails.StartPeriod;1;P006;case_11_e-commerce;model002;Attributes;ProductPromotion.startDate;1;1;gpt-4.1
case_11_e-commerce;Attributes;PromotionDetails.EndPeriod;1;P006;case_11_e-commerce;model002;Attributes;ProductPromotion.endDate;1;1;gpt-4.1
case_11_e-commerce;Association;"Customer ""1"" -- ""0..*"" Order";1;P006;case_11_e-commerce;model002;Association;"Customer ""1"" -- ""0..*"" Order";1;1;gpt-4.1
case_11_e-commerce;Association;"Customer ""*"" -- ""0..*"" Product";1;P006;case_11_e-commerce;model002;;;;;gpt-4.1
case_11_e-commerce;Association;"Order ""*"" -- ""*"" Product ";1;P006;case_11_e-commerce;model002;;;;;gpt-4.1
case_11_e-commerce;Association;"Product ""1"" -- ""0..*"" Promotion";1;P006;case_11_e-commerce;model002;Association;"Product ""*"" -- ""*"" Promotion";1;0;gpt-4.1
case_11_e-commerce;Association Class;(Order, Product) .. OrderDetails;1;P006;case_11_e-commerce;model002;Association Class;(Order, Product) .. OrderItem;1;1;gpt-4.1
case_11_e-commerce;Association Class;(Product, Customer) .. Review;1;P006;case_11_e-commerce;model002;;;;;gpt-4.1
case_11_e-commerce;Association Class;(Product, Promotion) .. PromotionDetails;1;P006;case_11_e-commerce;model002;Association Class;(Product, Promotion) .. ProductPromotion;1;1;gpt-4.1
case_11_e-commerce;Association;;;P006;case_11_e-commerce;model002;Association;"Product ""1"" -- ""0..*"" Review";1;0;gpt-4.1
case_11_e-commerce;Association;;;P006;case_11_e-commerce;model002;Association;"Customer ""1"" -- ""0..*"" Review";1;0;gpt-4.1
case_11_e-commerce;Composition;;;P006;case_11_e-commerce;model002;Composition;"Order ""1"" *-- ""1..*"" OrderItem";1;1;gpt-4.1
case_11_e-commerce;Association;;;P006;case_11_e-commerce;model002;Association;"OrderItem ""1..*"" -- ""1"" Product";0;0;gpt-4.1
case_11_e-commerce;Attributes;;;P006;case_11_e-commerce;model002;Attributes;Promotion.promotionId;1;0;gpt-4.1
case_14_university_courses;Class;Student;1;P007;case_14_university_courses;model011;Class;Student;1;1;gpt-5
case_14_university_courses;Class;Course;1;P007;case_14_university_courses;model011;Class;Course;1;1;gpt-5
case_14_university_courses;Class;TeachingAssistant;1;P007;case_14_university_courses;model011;Class;TeachingAssistant;1;1;gpt-5
case_14_university_courses;Class;LabSection;1;P007;case_14_university_courses;model011;Class;LabSection;1;1;gpt-5
case_14_university_courses;Class;CourseRegistration;1;P007;case_14_university_courses;model011;Class;Enrollment;1;1;gpt-5
case_14_university_courses;Class;Assignment;1;P007;case_14_university_courses;model011;Class;Assignment;1;1;gpt-5
case_14_university_courses;Attributes;Student.ID;1;P007;case_14_university_courses;model011;Attributes;Student.studentCode;1;1;gpt-5
case_14_university_courses;Attributes;TeachingAssistant.FirstName;1;P007;case_14_university_courses;model011;Attributes;TeachingAssistant.firstName;1;1;gpt-5
case_14_university_courses;Attributes;TeachingAssistant.LastName;1;P007;case_14_university_courses;model011;Attributes;TeachingAssistant.lastName;1;1;gpt-5
case_14_university_courses;Attributes;LabSection.StartTime;1;P007;case_14_university_courses;model011;Attributes;LabSection.timeSlot;1;1;gpt-5
case_14_university_courses;Attributes;LabSection.EndTime;1;P007;case_14_university_courses;model011;Attributes;LabSection.location;1;1;gpt-5
case_14_university_courses;Attributes;LabSection.Location;1;P007;case_14_university_courses;model011;;;;;gpt-5
case_14_university_courses;Attributes;CourseRegistration.dateRegistered;1;P007;case_14_university_courses;model011;Attributes;Enrollment.date;1;1;gpt-5
case_14_university_courses;Attributes;Assignment.details;1;P007;case_14_university_courses;model011;Attributes;Assignment.details;1;1;gpt-5
case_14_university_courses;Attributes;Assignment.responsibilities;1;P007;case_14_university_courses;model011;Attributes;Assignment.responsibilities;1;1;gpt-5
case_14_university_courses;Association;"Student ""*"" -- ""*"" Course";1;P007;case_14_university_courses;model011;Association;"Student ""*"" -- ""*"" Course";1;1;gpt-5
case_14_university_courses;Association;"TeachingAssistant ""*"" -- ""*"" Course";1;P007;case_14_university_courses;model011;;;;;gpt-5
case_14_university_courses;Composition;"Course ""1"" *-- ""1..*"" LabSection";1;P007;case_14_university_courses;model011;Composition;"Course ""1"" *-- ""1"" LabSection";1;0;gpt-5
case_14_university_courses;Association Class;(Student, Course) .. CourseRegistration;1;P007;case_14_university_courses;model011;Association Class;(Student, Course) .. Enrollment;1;1;gpt-5
case_14_university_courses;Association Class;(Course, TeachingAssistant) .. Assignment;1;P007;case_14_university_courses;model011;;;;;gpt-5
case_14_university_courses;Attributes;;;P007;case_14_university_courses;model011;Attributes;Assignment.role;1;0;gpt-5
case_14_university_courses;Association;;;P007;case_14_university_courses;model011;Association;"TeachingAssistant ""0..*"" -- ""1"" Assignment";1;0;gpt-5
case_14_university_courses;Association;;;P007;case_14_university_courses;model011;Association;"Course ""0..*"" -- ""1"" Assignment";1;0;gpt-5
case_13_theater_scheduling;Class;Enumeration Time;1;P008;case_13_theater_scheduling;model002;Class;Enumeration TimeOfDay;1;1;gpt-4.1
case_13_theater_scheduling;Class;Abstract Person;1;P008;case_13_theater_scheduling;model002;Class;AuthorParticipant;1;0;gpt-4.1
case_13_theater_scheduling;Class;Author;1;P008;case_13_theater_scheduling;model002;;;;;gpt-4.1
case_13_theater_scheduling;Class;Participant;1;P008;case_13_theater_scheduling;model002;;;;;gpt-4.1
case_13_theater_scheduling;Class;Session;1;P008;case_13_theater_scheduling;model002;Class;Session;1;1;gpt-4.1
case_13_theater_scheduling;Class;Theater;1;P008;case_13_theater_scheduling;model002;Class;Theater;1;1;gpt-4.1
case_13_theater_scheduling;Class;Abstract Play;1;P008;case_13_theater_scheduling;model002;Class;Abstract Play;1;1;gpt-4.1
case_13_theater_scheduling;Class;Musical;1;P008;case_13_theater_scheduling;model002;Class;Musical;1;1;gpt-4.1
case_13_theater_scheduling;Class;Opera;1;P008;case_13_theater_scheduling;model002;Class;Opera;1;1;gpt-4.1
case_13_theater_scheduling;Attributes;Time.Day;1;P008;case_13_theater_scheduling;model002;Attributes;TimeOfDay.DAY;1;1;gpt-4.1
case_13_theater_scheduling;Attributes;Time.Night;1;P008;case_13_theater_scheduling;model002;Attributes;TimeOfDay.NIGHT;1;1;gpt-4.1
case_13_theater_scheduling;Attributes;Person.name;1;P008;case_13_theater_scheduling;model002;Attributes;AuthorParticipant.name;1;1;gpt-4.1
case_13_theater_scheduling;Attributes;Session.date;1;P008;case_13_theater_scheduling;model002;Attributes;Session.scheduledDate;1;1;gpt-4.1
case_13_theater_scheduling;Attributes;Session.timeBegin;1;P008;case_13_theater_scheduling;model002;Attributes;Session.startTime;1;1;gpt-4.1
case_13_theater_scheduling;Attributes;Session.timeEnd;1;P008;case_13_theater_scheduling;model002;Attributes;Session.endTime;1;1;gpt-4.1
case_13_theater_scheduling;Attributes;Theater.Location;1;P008;case_13_theater_scheduling;model002;Attributes;Theater.location;1;1;gpt-4.1
case_13_theater_scheduling;Attributes;Play.name;1;P008;case_13_theater_scheduling;model002;Attributes;Play.name;1;1;gpt-4.1
case_13_theater_scheduling;Attributes;Play.Time;1;P008;case_13_theater_scheduling;model002;Attributes;Play.timeOfDay;1;1;gpt-4.1
case_13_theater_scheduling;Association;"Play ""*"" -- ""*"" Theater : plays";1;P008;case_13_theater_scheduling;model002;;;;;gpt-4.1
case_13_theater_scheduling;Association;"Author ""1..*""  -- ""*"" Play : writes";1;P008;case_13_theater_scheduling;model002;;;;;gpt-4.1
case_13_theater_scheduling;Association;"Participant ""*"" -- ""*"" Play : acts";1;P008;case_13_theater_scheduling;model002;;;;;gpt-4.1
case_13_theater_scheduling;Inheritance;Person <|-- Author;1;P008;case_13_theater_scheduling;model002;;;;;gpt-4.1
case_13_theater_scheduling;Inheritance;Person <|-- Participant;1;P008;case_13_theater_scheduling;model002;;;;;gpt-4.1
case_13_theater_scheduling;Inheritance;Play <|-- Musical;1;P008;case_13_theater_scheduling;model002;Inheritance;Musical --|> Play;1;1;gpt-4.1
case_13_theater_scheduling;Inheritance;Play <|-- Opera;1;P008;case_13_theater_scheduling;model002;Inheritance;Opera --|> Play;1;1;gpt-4.1
case_13_theater_scheduling;Association Class;(Play , Participant) .. Session;1;P008;case_13_theater_scheduling;model002;;;;;gpt-4.1
case_13_theater_scheduling;Attributes;;;P008;case_13_theater_scheduling;model002;Attributes;Theater.name;1;0;gpt-4.1
case_13_theater_scheduling;Association;;;P008;case_13_theater_scheduling;model002;Association;"Theater ""1..*"" -- ""0..*"" Session";1;0;gpt-4.1
case_13_theater_scheduling;Association;;;P008;case_13_theater_scheduling;model002;Association;"Play ""1"" -- ""1..*"" AuthorParticipant";1;0;gpt-4.1
case_13_theater_scheduling;Composition;;;P008;case_13_theater_scheduling;model002;Composition;"Play ""1"" *-- ""0..*"" Session";1;0;gpt-4.1
case_13_theater_scheduling;Association;;;P008;case_13_theater_scheduling;model002;Association;"Play ""1..*"" -- ""1..*"" AuthorParticipant";1;0;gpt-4.1
case_13_theater_scheduling;Association;;;P008;case_13_theater_scheduling;model002;Association;"Session ""1..*"" -- ""1..*"" AuthorParticipant";1;0;gpt-4.1
case_15_robots;Class;Enumeration Location;1;P009;case_15_robots;model011;Class;Enumeration LocationCategory;1;1;gpt-5
case_15_robots;Class;Abstract Robot;1;P009;case_15_robots;model011;Class;Abstract Robot;1;1;gpt-5
case_15_robots;Class;CleaningRobot;1;P009;case_15_robots;model011;Class;CleaningRobot;1;1;gpt-5
case_15_robots;Class;TransportRobot;1;P009;case_15_robots;model011;Class;TransportRobot;1;1;gpt-5
case_15_robots;Class;Task;1;P009;case_15_robots;model011;Class;Task;1;1;gpt-5
case_15_robots;Class;TaskExecution;1;P009;case_15_robots;model011;Class;TaskExecution;1;1;gpt-5
case_15_robots;Attributes;Location.Corridors;1;P009;case_15_robots;model011;Attributes;LocationCategory.Corridor;1;1;gpt-5
