Exercise;Element;reference_plantuml;reference;exercise_name;model_number;elem_type;plantuml;predicted;correct;llm
case_11_e-commerce;Attributes;Review.Rating;1;case_11_e-commerce;model002;Attributes;Review.ratingScore;1;1;gpt4.1
case_11_e-commerce;Attributes;PromotionDetails.DiscountRate;1;case_11_e-commerce;model002;Attributes;ProductPromotion.discountRate;1;1;gpt4.1
case_11_e-commerce;Attributes;PromotionDetails.StartPeriod;1;case_11_e-commerce;model002;Attributes;ProductPromotion.startDate;1;1;gpt4.1
case_11_e-commerce;Attributes;PromotionDetails.EndPeriod;1;case_11_e-commerce;model002;Attributes;ProductPromotion.endDate;1;1;gpt4.1
case_11_e-commerce;Association;"Customer ""1"" -- ""0..*"" Order";1;case_11_e-commerce;model002;Association;"Customer ""1"" -- ""0..*"" Order";1;1;gpt4.1
case_11_e-commerce;Association;"Customer ""*"" -- ""0..*"" Product";1;case_11_e-commerce;model002;;;;;gpt4.1
case_11_e-commerce;Association;"Order ""*"" -- ""*"" Product ";1;case_11_e-commerce;model002;;;;;gpt4.1
case_11_e-commerce;Association;"Product ""1"" -- ""0..*"" Promotion";1;case_11_e-commerce;model002;;;;;gpt4.1
case_11_e-commerce;Association Class;(Order, Product) .. OrderDetails;1;case_11_e-commerce;model002;;;;;gpt4.1
case_11_e-commerce;Association Class;(Product, Customer) .. Review;1;case_11_e-commerce;model002;Association Class;(Customer, Product) .. Review;1;1;gpt4.1
case_11_e-commerce;Association Class;(Product, Promotion) .. PromotionDetails;1;case_11_e-commerce;model002;;;;;gpt4.1
case_11_e-commerce;Attributes;;;case_11_e-commerce;model002;Attributes;Promotion.promotionId;1;0;gpt4.1
case_11_e-commerce;Association;;;case_11_e-commerce;model002;Association;"Product ""1"" -- ""0..*"" ProductPromotion";1;0;gpt4.1
case_11_e-commerce;Association;;;case_11_e-commerce;model002;Association;"Promotion ""1"" -- ""0..*"" ProductPromotion";1;0;gpt4.1
case_11_e-commerce;Association;;;case_11_e-commerce;model002;Association;"OrderItem ""1"" -- ""1"" Product";1;0;gpt4.1
case_11_e-commerce;Composition;;;case_11_e-commerce;model002;Composition;"Order ""1"" *-- ""1..*"" OrderItem";1;0;gpt4.1
case_11_e-commerce;Class;Customer;1;case_11_e-commerce;model003;Class;Customer;1;1;gpt4.1
case_11_e-commerce;Class;Product;1;case_11_e-commerce;model003;Class;Product;1;1;gpt4.1
case_11_e-commerce;Class;Order;1;case_11_e-commerce;model003;Class;Order;1;1;gpt4.1
case_11_e-commerce;Class;OrderDetails;1;case_11_e-commerce;model003;Class;OrderItem;1;1;gpt4.1
case_11_e-commerce;Class;Review;1;case_11_e-commerce;model003;Class;Review;1;1;gpt4.1
case_11_e-commerce;Class;Promotion;1;case_11_e-commerce;model003;Class;Promotion;1;1;gpt4.1
case_11_e-commerce;Class;PromotionDetails;1;case_11_e-commerce;model003;Class;ProductPromotion;1;1;gpt4.1
case_11_e-commerce;Attributes;Customer.ID;1;case_11_e-commerce;model003;Attributes;Customer.customerId;1;1;gpt4.1
case_11_e-commerce;Attributes;Product.Name;1;case_11_e-commerce;model003;Attributes;Product.name;1;1;gpt4.1
case_11_e-commerce;Attributes;Product.Description;1;case_11_e-commerce;model003;Attributes;Product.description;1;1;gpt4.1
case_11_e-commerce;Attributes;Order.ID;1;case_11_e-commerce;model003;Attributes;Order.orderId;1;1;gpt4.1
case_11_e-commerce;Attributes;OrderDetails.Quantity;1;case_11_e-commerce;model003;Attributes;OrderItem.quantity;1;1;gpt4.1
case_11_e-commerce;Attributes;OrderDetails.Price;1;case_11_e-commerce;model003;Attributes;OrderItem.agreedPrice;1;1;gpt4.1
case_11_e-commerce;Attributes;Review.Date;1;case_11_e-commerce;model003;Attributes;Review.dateWritten;1;1;gpt4.1
case_11_e-commerce;Attributes;Review.Rating;1;case_11_e-commerce;model003;Attributes;Review.ratingScore;1;1;gpt4.1
case_11_e-commerce;Attributes;PromotionDetails.DiscountRate;1;case_11_e-commerce;model003;Attributes;ProductPromotion.discountRate;1;1;gpt4.1
case_11_e-commerce;Attributes;PromotionDetails.StartPeriod;1;case_11_e-commerce;model003;Attributes;ProductPromotion.startDate;1;1;gpt4.1
case_11_e-commerce;Attributes;PromotionDetails.EndPeriod;1;case_11_e-commerce;model003;Attributes;ProductPromotion.endDate;1;1;gpt4.1
case_11_e-commerce;Association;"Customer ""1"" -- ""0..*"" Order";1;case_11_e-commerce;model003;Association;"Customer ""1"" -- ""0..*"" Order";1;1;gpt4.1
case_11_e-commerce;Association;"Customer ""*"" -- ""0..*"" Product";1;case_11_e-commerce;model003;;;;;gpt4.1
case_11_e-commerce;Association;"Order ""*"" -- ""*"" Product ";1;case_11_e-commerce;model003;;;;;gpt4.1
case_11_e-commerce;Association;"Product ""1"" -- ""0..*"" Promotion";1;case_11_e-commerce;model003;;;;;gpt4.1
case_11_e-commerce;Association Class;(Order, Product) .. OrderDetails;1;case_11_e-commerce;model003;;;;;gpt4.1
case_11_e-commerce;Association Class;(Product, Customer) .. Review;1;case_11_e-commerce;model003;Association Class;(Customer, Product) .. Review;1;1;gpt4.1
case_11_e-commerce;Association Class;(Product, Promotion) .. PromotionDetails;1;case_11_e-commerce;model003;;;;;gpt4.1
case_11_e-commerce;Attributes;;;case_11_e-commerce;model003;Attributes;Promotion.promotionId;1;0;gpt4.1
case_11_e-commerce;Association;;;case_11_e-commerce;model003;Association;"Product ""1"" -- ""0..*"" ProductPromotion";1;0;gpt4.1
case_11_e-commerce;Association;;;case_11_e-commerce;model003;Association;"Promotion ""1"" -- ""0..*"" ProductPromotion";1;0;gpt4.1
case_11_e-commerce;Composition;;;case_11_e-commerce;model003;Composition;"Order ""1"" *-- ""1..*"" OrderItem";1;0;gpt4.1
case_11_e-commerce;Composition;;;case_11_e-commerce;model003;Composition;"OrderItem ""1"" *-- ""1"" Product";1;0;gpt4.1
case_11_e-commerce;Class;Customer;1;case_11_e-commerce;model011;Class;Customer;1;1;gpt5
case_11_e-commerce;Class;Product;1;case_11_e-commerce;model011;Class;Product;1;1;gpt5
case_11_e-commerce;Class;Order;1;case_11_e-commerce;model011;Class;Order;1;1;gpt5
case_11_e-commerce;Class;OrderDetails;1;case_11_e-commerce;model011;Class;OrderItem;1;1;gpt5
case_11_e-commerce;Class;Review;1;case_11_e-commerce;model011;Class;Review;1;1;gpt5
case_11_e-commerce;Class;Promotion;1;case_11_e-commerce;model011;Class;Promotion;1;1;gpt5
case_11_e-commerce;Class;PromotionDetails;1;case_11_e-commerce;model011;Class;Offer;1;1;gpt5
case_11_e-commerce;Attributes;Customer.ID;1;case_11_e-commerce;model011;Attributes;Customer.id;1;1;gpt5
case_11_e-commerce;Attributes;Product.Name;1;case_11_e-commerce;model011;Attributes;Product.name;1;1;gpt5
case_11_e-commerce;Attributes;Product.Description;1;case_11_e-commerce;model011;Attributes;Product.description;1;1;gpt5
case_11_e-commerce;Attributes;Order.ID;1;case_11_e-commerce;model011;Attributes;Order.id;1;1;gpt5
case_11_e-commerce;Attributes;OrderDetails.Quantity;1;case_11_e-commerce;model011;Attributes;OrderItem.quantityRequested;1;1;gpt5
case_11_e-commerce;Attributes;OrderDetails.Price;1;case_11_e-commerce;model011;Attributes;OrderItem.agreedPrice;1;1;gpt5
case_11_e-commerce;Attributes;Review.Date;1;case_11_e-commerce;model011;Attributes;Review.reviewDate;1;1;gpt5
case_11_e-commerce;Attributes;Review.Rating;1;case_11_e-commerce;model011;Attributes;Review.ratingScore;1;1;gpt5
case_11_e-commerce;Attributes;PromotionDetails.DiscountRate;1;case_11_e-commerce;model011;Attributes;Offer.discountRate;1;1;gpt5
case_11_e-commerce;Attributes;PromotionDetails.StartPeriod;1;case_11_e-commerce;model011;Attributes;Offer.startDate;1;1;gpt5
case_11_e-commerce;Attributes;PromotionDetails.EndPeriod;1;case_11_e-commerce;model011;Attributes;Offer.endDate;1;1;gpt5
case_11_e-commerce;Association;"Customer ""1"" -- ""0..*"" Order";1;case_11_e-commerce;model011;Association;"Customer ""0..*"" -- ""1"" Order";1;0;gpt5
case_11_e-commerce;Association;"Customer ""*"" -- ""0..*"" Product";1;case_11_e-commerce;model011;;;;;gpt5
case_11_e-commerce;Association;"Order ""*"" -- ""*"" Product ";1;case_11_e-commerce;model011;;;;;gpt5
case_11_e-commerce;Association;"Product ""1"" -- ""0..*"" Promotion";1;case_11_e-commerce;model011;;;;;gpt5
case_11_e-commerce;Association Class;(Order, Product) .. OrderDetails;1;case_11_e-commerce;model011;Association Class;(Product, Order) .. OrderItem;1;1;gpt5
case_11_e-commerce;Association Class;(Product, Customer) .. Review;1;case_11_e-commerce;model011;Association Class;(Customer, Product) .. Review;1;1;gpt5
case_11_e-commerce;Association Class;(Product, Promotion) .. PromotionDetails;1;case_11_e-commerce;model011;;;;;gpt5
case_11_e-commerce;Association;;;case_11_e-commerce;model011;Association;"Offer ""1"" -- ""0..*"" Product";1;0;gpt5
case_11_e-commerce;Composition;;;case_11_e-commerce;model011;Composition;"Promotion ""0..*"" *-- ""1"" Offer";1;0;gpt5
case_11_e-commerce;Class;Customer;1;case_11_e-commerce;model012;Class;Customer;1;1;gpt5
case_11_e-commerce;Class;Product;1;case_11_e-commerce;model012;Class;Product;1;1;gpt5
case_11_e-commerce;Class;Order;1;case_11_e-commerce;model012;Class;Order;1;1;gpt5
case_11_e-commerce;Class;OrderDetails;1;case_11_e-commerce;model012;Class;OrderItem;1;1;gpt5
case_11_e-commerce;Class;Review;1;case_11_e-commerce;model012;Class;Review;1;1;gpt5
case_11_e-commerce;Class;Promotion;1;case_11_e-commerce;model012;Class;PromotionalCampaign;1;1;gpt5
case_11_e-commerce;Class;PromotionDetails;1;case_11_e-commerce;model012;Class;ProductPromotion;1;1;gpt5
case_11_e-commerce;Attributes;Customer.ID;1;case_11_e-commerce;model012;Attributes;Customer.customerId;1;1;gpt5
case_11_e-commerce;Attributes;Product.Name;1;case_11_e-commerce;model012;Attributes;Product.name;1;1;gpt5
case_11_e-commerce;Attributes;Product.Description;1;case_11_e-commerce;model012;Attributes;Product.description;1;1;gpt5
case_11_e-commerce;Attributes;Order.ID;1;case_11_e-commerce;model012;Attributes;Order.orderId;1;1;gpt5
case_11_e-commerce;Attributes;OrderDetails.Quantity;1;case_11_e-commerce;model012;Attributes;OrderItem.quantityRequested;1;1;gpt5
case_11_e-commerce;Attributes;OrderDetails.Price;1;case_11_e-commerce;model012;Attributes;OrderItem.agreedPrice;1;1;gpt5
case_11_e-commerce;Attributes;Review.Date;1;case_11_e-commerce;model012;Attributes;Review.dateWritten;1;1;gpt5
case_11_e-commerce;Attributes;Review.Rating;1;case_11_e-commerce;model012;Attributes;Review.ratingScore;1;1;gpt5
case_11_e-commerce;Attributes;PromotionDetails.DiscountRate;1;case_11_e-commerce;model012;Attributes;ProductPromotion.discountRate;1;1;gpt5
case_11_e-commerce;Attributes;PromotionDetails.StartPeriod;1;case_11_e-commerce;model012;Attributes;ProductPromotion.startDate;1;1;gpt5
case_11_e-commerce;Attributes;PromotionDetails.EndPeriod;1;case_11_e-commerce;model012;Attributes;ProductPromotion.endDate;1;1;gpt5
case_11_e-commerce;Association;"Customer ""1"" -- ""0..*"" Order";1;case_11_e-commerce;model012;Association;"Customer ""1"" -- ""0..*"" Order";1;1;gpt5
case_11_e-commerce;Association;"Customer ""*"" -- ""0..*"" Product";1;case_11_e-commerce;model012;;;;;gpt5
case_11_e-commerce;Association;"Order ""*"" -- ""*"" Product ";1;case_11_e-commerce;model012;;;;;gpt5
case_11_e-commerce;Association;"Product ""1"" -- ""0..*"" Promotion";1;case_11_e-commerce;model012;;;;;gpt5
case_11_e-commerce;Association Class;(Order, Product) .. OrderDetails;1;case_11_e-commerce;model012;;;;;gpt5
case_11_e-commerce;Association Class;(Product, Customer) .. Review;1;case_11_e-commerce;model012;Association Class;(Customer, Product) .. Review;1;1;gpt5
case_11_e-commerce;Association Class;(Product, Promotion) .. PromotionDetails;1;case_11_e-commerce;model012;Association Class;(Product, PromotionalCampaign) .. ProductPromotion;1;1;gpt5
case_11_e-commerce;Composition;;;case_11_e-commerce;model012;Composition;"Order ""1"" *-- ""1..*"" OrderItem";1;0;gpt5
case_11_e-commerce;Class;Customer;1;case_11_e-commerce;model013;Class;Customer;1;1;gpt5
case_11_e-commerce;Class;Product;1;case_11_e-commerce;model013;Class;Product;1;1;gpt5
case_11_e-commerce;Class;Order;1;case_11_e-commerce;model013;Class;Order;1;1;gpt5
case_11_e-commerce;Class;OrderDetails;1;case_11_e-commerce;model013;Class;OrderItem;1;1;gpt5
case_11_e-commerce;Class;Review;1;case_11_e-commerce;model013;Class;Review;1;1;gpt5
case_11_e-commerce;Class;Promotion;1;case_11_e-commerce;model013;Class;Promotion;1;1;gpt5
case_11_e-commerce;Class;PromotionDetails;1;case_11_e-commerce;model013;Class;ProductPromotion;1;1;gpt5
case_11_e-commerce;Attributes;Customer.ID;1;case_11_e-commerce;model013;Attributes;Customer.id;1;1;gpt5
case_11_e-commerce;Attributes;Product.Name;1;case_11_e-commerce;model013;Attributes;Product.name;1;1;gpt5
case_11_e-commerce;Attributes;Product.Description;1;case_11_e-commerce;model013;Attributes;Product.description;1;1;gpt5
case_11_e-commerce;Attributes;Order.ID;1;case_11_e-commerce;model013;Attributes;Order.id;1;1;gpt5
case_11_e-commerce;Attributes;OrderDetails.Quantity;1;case_11_e-commerce;model013;Attributes;OrderItem.quantityRequested;1;1;gpt5
case_11_e-commerce;Attributes;OrderDetails.Price;1;case_11_e-commerce;model013;Attributes;OrderItem.agreedPrice;1;1;gpt5
case_11_e-commerce;Attributes;Review.Date;1;case_11_e-commerce;model013;Attributes;Review.reviewDate;1;1;gpt5
case_11_e-commerce;Attributes;Review.Rating;1;case_11_e-commerce;model013;Attributes;Review.ratingScore;1;1;gpt5
case_11_e-commerce;Attributes;PromotionDetails.DiscountRate;1;case_11_e-commerce;model013;Attributes;ProductPromotion.discountRate;1;1;gpt5
case_11_e-commerce;Attributes;PromotionDetails.StartPeriod;1;case_11_e-commerce;model013;Attributes;ProductPromotion.startDate;1;1;gpt5
case_11_e-commerce;Attributes;PromotionDetails.EndPeriod;1;case_11_e-commerce;model013;Attributes;ProductPromotion.endDate;1;1;gpt5
case_11_e-commerce;Association;"Customer ""1"" -- ""0..*"" Order";1;case_11_e-commerce;model013;Association;"Customer ""1"" -- ""0..*"" Order";1;1;gpt5
case_11_e-commerce;Association;"Customer ""*"" -- ""0..*"" Product";1;case_11_e-commerce;model013;;;;;gpt5
case_11_e-commerce;Association;"Order ""*"" -- ""*"" Product ";1;case_11_e-commerce;model013;;;;;gpt5
case_11_e-commerce;Association;"Product ""1"" -- ""0..*"" Promotion";1;case_11_e-commerce;model013;;;;;gpt5
case_11_e-commerce;Association Class;(Order, Product) .. OrderDetails;1;case_11_e-commerce;model013;;;;;gpt5
case_11_e-commerce;Association Class;(Product, Customer) .. Review;1;case_11_e-commerce;model013;Association Class;(Customer, Product) .. Review;1;1;gpt5
case_11_e-commerce;Association Class;(Product, Promotion) .. PromotionDetails;1;case_11_e-commerce;model013;;;;;gpt5
case_11_e-commerce;Association;;;case_11_e-commerce;model013;Association;"OrderItem ""1"" -- ""0..*"" Product";1;0;gpt5
case_11_e-commerce;Association;;;case_11_e-commerce;model013;Association;"Product ""1"" -- ""0..*"" ProductPromotion";1;0;gpt5
case_11_e-commerce;Composition;;;case_11_e-commerce;model013;Composition;"Order ""1"" *-- ""1..*"" OrderItem";1;0;gpt5
case_11_e-commerce;Composition;;;case_11_e-commerce;model013;Composition;"Promotion ""1"" *-- ""0..*"" ProductPromotion";1;0;gpt5
case_12_person_and_resources;Class;Person;1;case_12_person_and_resources;model001;Class;Person;1;1;gpt4.1
case_12_person_and_resources;Class;Ancestor;1;case_12_person_and_resources;model001;Class;AncestorDegree;1;1;gpt4.1
case_12_person_and_resources;Class;User;1;case_12_person_and_resources;model001;Class;User;1;1;gpt4.1
case_12_person_and_resources;Class;Abstract Resource;1;case_12_person_and_resources;model001;Class;Abstract Resource;1;1;gpt4.1
case_12_person_and_resources;Class;File;1;case_12_person_and_resources;model001;Class;File;1;1;gpt4.1
case_12_person_and_resources;Class;Folder;1;case_12_person_and_resources;model001;Class;Folder;1;1;gpt4.1
case_12_person_and_resources;Class;Access;1;case_12_person_and_resources;model001;Class;AccessPermission;1;1;gpt4.1
case_12_person_and_resources;Attributes;Person.name;1;case_12_person_and_resources;model001;Attributes;Person.name;1;1;gpt4.1
case_12_person_and_resources;Attributes;Person.identifier;1;case_12_person_and_resources;model001;Attributes;Person.identifier;1;1;gpt4.1
case_12_person_and_resources;Attributes;Ancestor.degree;1;case_12_person_and_resources;model001;Attributes;AncestorDegree.degree;1;1;gpt4.1
case_12_person_and_resources;Attributes;User.password;1;case_12_person_and_resources;model001;Attributes;User.password;1;1;gpt4.1
case_12_person_and_resources;Attributes;Resource.name;1;case_12_person_and_resources;model001;Attributes;Resource.name;1;1;gpt4.1
case_12_person_and_resources;Attributes;Access.canEdit;1;case_12_person_and_resources;model001;Attributes;AccessPermission.canEdit;1;1;gpt4.1
case_12_person_and_resources;Association;"Person ""0..1"" -- ""*"" Person : isChildOf";1;case_12_person_and_resources;model001;Association;"Person ""0..1"" -- ""0..*"" Person";1;1;gpt4.1
case_12_person_and_resources;Association;"Person ""*"" -- ""*"" Person : ancestor";1;case_12_person_and_resources;model001;Association;"Person ""0..*"" -- ""0..1"" Person";1;1;gpt4.1
case_12_person_and_resources;Inheritance;Person <|-- User;1;case_12_person_and_resources;model001;Inheritance;User --|> Person;1;1;gpt4.1
case_12_person_and_resources;Composition;"User ""*"" *-- ""*"" Resource";1;case_12_person_and_resources;model001;;;;;gpt4.1
case_12_person_and_resources;Composition;"Folder ""0..1"" *-- ""*"" Resource: belongsTo";1;case_12_person_and_resources;model001;Composition;"Folder ""0..*"" *-- ""1"" Resource";1;0;gpt4.1
case_12_person_and_resources;Inheritance;Resource <|-- File;1;case_12_person_and_resources;model001;Inheritance;File --|> Resource;1;1;gpt4.1
case_12_person_and_resources;Inheritance;Resource <|-- Folder;1;case_12_person_and_resources;model001;Inheritance;Folder --|> Resource;1;1;gpt4.1
case_12_person_and_resources;Association Class;(User, Resource) .. Access;1;case_12_person_and_resources;model001;;;;;gpt4.1
case_12_person_and_resources;Association Class;(Person, Person) .. Ancestor;1;case_12_person_and_resources;model001;;;;;gpt4.1
case_12_person_and_resources;Attributes;;;case_12_person_and_resources;model001;Attributes;AccessPermission.canView;1;0;gpt4.1
case_12_person_and_resources;Association;;;case_12_person_and_resources;model001;Association;"Person ""0..*"" -- ""1"" AncestorDegree";1;0;gpt4.1
case_12_person_and_resources;Association;;;case_12_person_and_resources;model001;Association;"User ""0..*"" -- ""1"" AccessPermission";1;0;gpt4.1
case_12_person_and_resources;Association;;;case_12_person_and_resources;model001;Association;"Resource ""0..*"" -- ""1"" AccessPermission";1;0;gpt4.1
case_12_person_and_resources;Composition;;;case_12_person_and_resources;model001;Composition;"Folder ""0..1"" *-- ""0..*"" Folder";1;0;gpt4.1
case_12_person_and_resources;Class;Person;1;case_12_person_and_resources;model002;Class;Person;1;1;gpt4.1
case_12_person_and_resources;Class;Ancestor;1;case_12_person_and_resources;model002;Class;Ancestor;1;1;gpt4.1
case_12_person_and_resources;Class;User;1;case_12_person_and_resources;model002;Class;User;1;1;gpt4.1
case_12_person_and_resources;Class;Abstract Resource;1;case_12_person_and_resources;model002;Class;Abstract Resource;1;1;gpt4.1
case_12_person_and_resources;Class;File;1;case_12_person_and_resources;model002;Class;File;1;1;gpt4.1
case_12_person_and_resources;Class;Folder;1;case_12_person_and_resources;model002;Class;Folder;1;1;gpt4.1
case_12_person_and_resources;Class;Access;1;case_12_person_and_resources;model002;Class;Access;1;1;gpt4.1
case_12_person_and_resources;Attributes;Person.name;1;case_12_person_and_resources;model002;Attributes;Person.name;1;1;gpt4.1
case_12_person_and_resources;Attributes;Person.identifier;1;case_12_person_and_resources;model002;Attributes;Person.identifier;1;1;gpt4.1
case_12_person_and_resources;Attributes;Ancestor.degree;1;case_12_person_and_resources;model002;Attributes;Ancestor.degree;1;1;gpt4.1
case_12_person_and_resources;Attributes;User.password;1;case_12_person_and_resources;model002;Attributes;User.password;1;1;gpt4.1
case_12_person_and_resources;Attributes;Resource.name;1;case_12_person_and_resources;model002;Attributes;Resource.name;1;1;gpt4.1
case_12_person_and_resources;Attributes;Access.canEdit;1;case_12_person_and_resources;model002;Attributes;Access.canEdit;1;1;gpt4.1
case_12_person_and_resources;Association;"Person ""0..1"" -- ""*"" Person : isChildOf";1;case_12_person_and_resources;model002;Association;"Person ""0..1"" -- ""0..1"" Person";1;0;gpt4.1
case_12_person_and_resources;Association;"Person ""*"" -- ""*"" Person : ancestor";1;case_12_person_and_resources;model002;;;;;gpt4.1
case_12_person_and_resources;Inheritance;Person <|-- User;1;case_12_person_and_resources;model002;Inheritance;User --|> Person;1;1;gpt4.1
case_12_person_and_resources;Composition;"User ""*"" *-- ""*"" Resource";1;case_12_person_and_resources;model002;;;;;gpt4.1
case_12_person_and_resources;Composition;"Folder ""0..1"" *-- ""*"" Resource: belongsTo";1;case_12_person_and_resources;model002;Composition;"Folder ""1"" *-- ""0..*"" Resource";1;0;gpt4.1
case_12_person_and_resources;Inheritance;Resource <|-- File;1;case_12_person_and_resources;model002;Inheritance;File --|> Resource;1;1;gpt4.1
case_12_person_and_resources;Inheritance;Resource <|-- Folder;1;case_12_person_and_resources;model002;Inheritance;Folder --|> Resource;1;1;gpt4.1
case_12_person_and_resources;Association Class;(User, Resource) .. Access;1;case_12_person_and_resources;model002;;;;;gpt4.1
case_12_person_and_resources;Association Class;(Person, Person) .. Ancestor;1;case_12_person_and_resources;model002;;;;;gpt4.1
case_12_person_and_resources;Attributes;;;case_12_person_and_resources;model002;Attributes;Access.canView;1;0;gpt4.1
case_12_person_and_resources;Association;;;case_12_person_and_resources;model002;Association;"Person ""0..*"" -- ""1"" Ancestor";1;0;gpt4.1
case_12_person_and_resources;Association;;;case_12_person_and_resources;model002;Association;"User ""0..*"" -- ""0..*"" Access";1;0;gpt4.1
case_12_person_and_resources;Association;;;case_12_person_and_resources;model002;Association;"Access ""1"" -- ""1"" Resource";1;0;gpt4.1
case_12_person_and_resources;Class;Person;1;case_12_person_and_resources;model003;Class;Person;1;1;gpt4.1
